Question Number,Question Text,Paragraph,Transcript,Answers,Right Answer,Answers Translation,Images
1,,,(A) The woman is looking at some menu.(B) There is a measuring tape around her neck.(C) She is holding a pair of scissors.(D) She is making some curtains with her measuring tape.,"['A.', 'B.', 'C.', 'D.']",B,Dịch đáp án: | 1. (A) Người phụ nữ đang xem một số thực đơn. | (B) Có một thước dây quanh cổ cô ấy. | (C) Cô ấy đang cầm một chiếc kéo. | (D) Cô ấy đang làm một số rèm cửa bằng thước dây của mình.,['https://s4-media1.study4.com/media/tez_media/img/eco_toeic_1000_test_3_eco_toeic_1000_test_3_1.png']
2,,,(A) She is looking at the laptop.(B) The vegetables are behind the laptop.(C) She is writing an email.(D) She is cutting some cucumber and carrot.,"['A.', 'B.', 'C.', 'D.']",A,Dịch đáp án: | 2. (A) Cô ấy đang nhìn vào máy tính xách tay. | (B) Rau củ ở phía sau máy tính xách tay. | (C) Cô ấy đang viết email. | (D) Cô ấy đang cắt một ít dưa chuột và cà rốt.,['https://s4-media1.study4.com/media/tez_media/img/eco_toeic_1000_test_3_eco_toeic_1000_test_3_2.png']
3,,,(A) All of the men are wearing glasses.(B) All of the people are looking at the laptop.(C) There are glasses of water on the table.(D) All of the men are leaning over the table.,"['A.', 'B.', 'C.', 'D.']",C,Dịch đáp án: | 3. (A) Tất cả những người đàn ông đều đeo kính. | (B) Tất cả mọi người đang nhìn vào máy tính xách tay. | (C) Có những cốc nước trên bàn. | (D) Tất cả những người đàn ông đang cúi xuống bàn.,['https://s4-media1.study4.com/media/tez_media/img/eco_toeic_1000_test_3_eco_toeic_1000_test_3_3.png']
4,,,(A) The man is throwing a snowball at the wood.(B) They are making a snowman.(C) The man is breaking the snowball.(D) They are having a snowball fight.,"['A.', 'B.', 'C.', 'D.']",D,Dịch đáp án: | 4. (A) Người đàn ông đang ném một quả cầu tuyết vào khu rừng. | (B) Họ đang làm người tuyết. | (C) Người đàn ông đang đập vỡ quả cầu tuyết. | (D) Họ đang có một trận đấu ném tuyết.,['https://s4-media1.study4.com/media/tez_media/img/eco_toeic_1000_test_3_eco_toeic_1000_test_3_4.png']
5,,,(A) All of the chairs are the same.(B) There are a lot of people swimming in the water.(C) The pool is nearby the sea.(D) The umbrellas are closed.,"['A.', 'B.', 'C.', 'D.']",A,Dịch đáp án: | 5. (A) Tất cả các ghế đều giống nhau. | (B) Có rất nhiều người đang bơi trong nước. | (C) Hồ bơi ở gần biển. | (D) Những chiếc ô đã đóng lại.,['https://s4-media1.study4.com/media/tez_media/img/eco_toeic_1000_test_3_eco_toeic_1000_test_3_5.png']
6,,,(A) She is at the supermarket.(B) She is selecting a flowerpot.(C) She is with her best friend.(D) She is paying for a flowerpot.,"['A.', 'B.', 'C.', 'D.']",B,Dịch đáp án: | 6. (A) Cô ấy đang ở siêu thị. | (B) Cô ấy đang chọn một lọ hoa. | (C) Cô ấy đang ở cùng với người bạn thân nhất của mình. | (D) Cô ấy đang trả tiền cho một lọ hoa.,['https://s4-media1.study4.com/media/tez_media/img/eco_toeic_1000_test_3_eco_toeic_1000_test_3_6.png']
7,,,Where are the training materials being distributed?(A) Please pass me the stapler.(B) In room 403.(C) On-the-job training.,"['A.', 'B.', 'C.']",B,Dịch đáp án: | 7. Tài liệu đào tạo được phân phát ở đâu? | (A) Làm ơn đưa cho tôi cái bấm ghim. | (B) Trong phòng 403. | (C) Đào tạo tại chỗ.,
8,,,"Is this the last train?(A) Yes, it's the nature trail I visited a month ago.(B) It'll last two hours.(C) No, there will be another.","['A.', 'B.', 'C.']",C,"Dịch đáp án: | 8. Đây có phải là chuyến tàu cuối cùng không? | (A) Vâng, đó là con đường mòn tự nhiên mà tôi đã ghé thăm một tháng trước. | (B) Nó sẽ kéo dài hai giờ. | (C) Không, sẽ có một chuyến khác.",
9,,,"Jesse left an envelope for me, didn't he?(A) It's at the front desk.(B) No, turn right at the corner.(C) Yes, he will develop a new product.","['A.', 'B.', 'C.']",A,"Dịch đáp án: | 9. Jesse để lại một phong bì cho tôi phải không? | (A) Nó ở quầy lễ tân. | (B) Không, rẽ phải ở góc đường. | (C) Vâng, anh ấy sẽ phát triển một sản phẩm mới.",
10,,,When will the construction be completed?(A) In three months.(B) They're building a bridge.(C) It was too complicated.,"['A.', 'B.', 'C.']",A,Dịch đáp án: | 10. Khi nào việc xây dựng sẽ hoàn thành? | (A) Trong ba tháng. | (B) Họ đang xây dựng một cây cầu. | (C) Nó quá phức tạp.,
11,,,"Won't you try the dessert?(A) Try on this one.(B) The area is mostly desert.(C) Sorry, but I'm full.","['A.', 'B.', 'C.']",C,"Dịch đáp án: | 11. Tại sao bạn không thử món tráng miệng? | (A) Hãy thử món này. | (B) Khu vực này chủ yếu là sa mạc. | (C) Xin lỗi, nhưng tôi đã no rồi.",
12,,,Why didn't you call our client today?(A) I saw it yesterday.(B) I e-mailed her instead.(C) Thank you for calling us.,"['A.', 'B.', 'C.']",B,"Dịch đáp án: | 12. Tại sao hôm nay bạn không gọi cho khách hàng của chúng ta? | (A) Tôi đã thấy nó ngày hôm qua. | (B) Thay vào đó, tôi đã gửi email cho cô ấy. | (C) Cảm ơn bạn đã gọi cho chúng tôi.",
13,,,Who still hasn't arrived yet?(A) I'll ask Mr. Simpson.(B) He arrived an hour ago.(C) The train has been delayed.,"['A.', 'B.', 'C.']",A,Dịch đáp án: | 13. Ai vẫn chưa đến? | (A) Tôi sẽ hỏi ông Simpson. | (B) Ông ấy đã đến cách đây một giờ. | (C) Chuyến tàu đã bị hoãn.,
14,,,What do you think about our new television advertisement?(A) I watched the show yesterday.(B) Through the advertising agency.(C) It's very eye-catching.,"['A.', 'B.', 'C.']",C,Dịch đáp án: | 14. Bạn nghĩ gì về quảng cáo truyền hình mới của chúng tôi? | (A) Tôi đã xem chương trình ngày hôm qua. | (B) Thông qua công ty quảng cáo. | (C) Nó rất bắt mắt.,
15,,,Where are the stairs to the basement?(A) He stared at the sign.(B) At the end of the hall.(C) There's no elevator in the building.,"['A.', 'B.', 'C.']",B,Dịch đáp án: | 15. Cầu thang dẫn xuống tầng hầm ở đâu? | (A) Anh ấy nhìn chằm chằm vào tấm biển. | (B) Ở cuối hành lang. | (C) Không có thang máy trong tòa nhà.,
16,,,"Can you give me a hand now, or should I ask again later?(A) Please hand out these flyers.(B) How about after lunch?(C) It's my pleasure.","['A.', 'B.', 'C.']",B,"Dịch đáp án: | 16. Bạn có thể giúp tôi ngay bây giờ không, hay tôi nên hỏi lại sau? | (A) Vui lòng phát những tờ rơi này. | (B) Sau bữa trưa thì sao? | (C) Tôi rất hân hạnh.",
17,,,"Should we hire a new employee to handle this project?(A) Yes, we'll need help.(B) Turn the handle.(C) A little higher, please.","['A.', 'B.', 'C.']",A,"Dịch đáp án: | 17. Chúng ta có nên thuê một nhân viên mới để xử lý dự án này không? | (A) Vâng, chúng ta cần sự giúp đỡ. | (B) Xoay tay cầm. | (C) Làm ơn cao hơn một chút.",
18,,,"The concert hasn't been sold out yet, has it?(A) The guitarist is Andy Gordon.(B) No, its tickets just went on sale today.(C) I sold my vehicle.","['A.', 'B.', 'C.']",B,"Dịch đáp án: | 18. Buổi hòa nhạc vẫn chưa bán hết vé phải không? | (A) Tay guitar là Andy Gordon. | (B) Chưa, vé vừa mới được bán hôm nay. | (C) Tôi đã bán xe của mình.",
19,,,I'm here to return some shoes.(A) Do you have the original receipt?(B) They fit perfectly.(C) Before the race starts.,"['A.', 'B.', 'C.']",A,Dịch đáp án: | 19. Tôi đến đây để trả lại một số đôi giày. | (A) Bạn có biên lai gốc không? | (B) Chúng rất vừa vặn. | (C) Trước khi cuộc đua bắt đầu.,
20,,,"Have you tested the product?(A) Yes, it was an aptitude test.(B) I saw it on the news.(C) No, should I?","['A.', 'B.', 'C.']",C,"Dịch đáp án: | 20. Bạn đã kiểm tra sản phẩm chưa? | (A) Vâng, đó là một bài kiểm tra năng khiếu. | (B) Tôi đã xem nó trên tin tức. | (C) Chưa, tôi có nên thử không?",
21,,,Who had lunch delivered to the office today?(A) Ms. Adams will.(B) I don't know since I just arrived.(C) In the meeting room.,"['A.', 'B.', 'C.']",B,Dịch đáp án: | 21. Ai đã giao bữa trưa đến văn phòng hôm nay? | (A) Cô Adams sẽ giao. | (B) Tôi không biết vì tôi mới đến. | (C) Trong phòng họp.,
22,,,What's the address of our Hong Kong buyer?(A) Check the client database.(B) From the shipping company.(C) Fragile contents.,"['A.', 'B.', 'C.']",A,Dịch đáp án: | 22. Địa chỉ của người mua ở Hồng Kông của chúng ta là gì? | (A) Hãy kiểm tra cơ sở dữ liệu khách hàng. | (B) Từ công ty vận chuyển. | (C) Nội dung dễ vỡ.,
23,,,Would you like to go through the quarterly report?(A) I already did.(B) How about through the consulting firm?(C) According to the news report.,"['A.', 'B.', 'C.']",A,Dịch đáp án: | 23. Bạn có muốn xem qua báo cáo hàng quý không? | (A) Tôi đã làm rồi. | (B) Thông qua công ty tư vấn thì thế nào? | (C) Theo báo cáo tin tức.,
